Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Hungary,HUN,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Iceland,ISL,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,India,IND,..,..,..,..,..,..,53.5,..,..,..,66.7,66.7,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Indonesia,IDN,61,61.3,61.9,62,61.6,60,59.4,63.6,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,"Iran, Islamic Rep.",IRN,..,77.4,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Iraq,IRQ,..,52.5,..,..,..,..,..,..,52.8,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Ireland,IRL,73.3,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Israel,ISR,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Italy,ITA,..,..,..,65.1,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Jamaica,JAM,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Japan,JPN,..,..,..,..,54.7,39.8,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Jordan,JOR,..,..,61.2,..,..,..,..,..,51.8,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Kazakhstan,KAZ,..,51,..,..,..,55.7,..,..,53,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Kenya,KEN,..,..,..,..,58,64.1,61.2,60,61.9,59.7,65.1,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Kiribati,KIR,..,..,..,..,..,..,..,..,..,33.6,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,"Korea, Dem. People's Rep.",PRK,70.6,..,..,..,78.2,..,..,70.2,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,"Korea, Rep.",KOR,..,..,77.1,..,..,79.6,..,..,82.3,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Kuwait,KWT,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Kyrgyz Republic,KGZ,..,..,36.3,..,41.9,..,..,..,39.4,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Lao PDR,LAO,..,..,49.6,..,..,..,..,56.3,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Latvia,LVA,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Lebanon,LBN,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Lesotho,LSO,47,63.4,..,..,60.2,..,..,..,64.9,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Liberia,LBR,..,..,..,20.2,..,..,..,..,..,..,24.9,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Libya,LBY,..,..,..,..,27.7,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Lithuania,LTU,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Luxembourg,LUX,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,North Macedonia,MKD,..,40.4,..,..,..,..,..,..,..,59.9,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Madagascar,MDG,..,..,..,39.8,..,..,..,47.9,44.4,..,49.7,49.7,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Malawi,MWI,46.1,..,..,..,58.6,..,59.2,..,..,..,65.6,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Malaysia,MYS,..,..,..,..,52.2,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Maldives,MDV,..,..,..,..,..,..,..,18.8,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Mali,MLI,9.8,..,..,10.3,..,15.6,..,..,17.2,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Malta,MLT,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Marshall Islands,MHL,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Mauritania,MRT,..,11.4,..,..,..,17.8,..,..,..,..,11.5,14.3,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Mauritius,MUS,..,..,..,..,63.8,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Mexico,MEX,..,..,..,..,72.3,66.9,..,..,73.1,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Moldova,MDA,..,..,59.5,..,..,..,..,..,..,..,56,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Mongolia,MNG,54.9,..,..,54.6,..,..,..,..,48.1,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Montenegro,MNE,..,..,..,23.2,..,..,..,..,20.7,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Morocco,MAR,..,67.4,..,..,..,..,..,..,70.8,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Mozambique,MOZ,..,11.6,..,..,..,27.1,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Myanmar,MMR,..,..,..,..,..,..,52.2,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Namibia,NAM,..,..,..,56.1,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Nauru,NRU,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Nepal,NPL,..,49.7,..,..,49.6,..,52.6,52.6,..,46.7,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Netherlands,NLD,..,..,..,73,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,New Zealand,NZL,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Nicaragua,NIC,..,..,80.4,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Niger,NER,..,..,13.9,..,..,14.7,17,18.9,11.1,..,..,11,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Nigeria,NGA,..,17.5,13.5,15.1,..,..,22.1,13.4,16.6,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Norway,NOR,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Oman,OMN,..,..,..,..,29.7,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Pakistan,PAK,..,..,29,35.4,32,..,..,..,34.2,34,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Palau,PLW,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Panama,PAN,..,..,..,62.8,..,50.8,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Papua New Guinea,PNG,..,..,..,..,..,..,..,36.7,36.7,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Paraguay,PRY,..,..,..,..,..,..,68.4,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Peru,PER,74.4,75.4,75.5,74,74.6,74.6,76.2,75.4,76.3,75.9,77.4,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Philippines,PHL,..,48.9,..,55.1,..,..,..,54.3,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Poland,POL,..,50.5,..,..,63.2,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Portugal,PRT,..,..,..,..,73.9,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Qatar,QAT,..,..,37.5,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Romania,ROU,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Russian Federation,RUS,..,68,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Rwanda,RWA,51.6,51.6,..,..,..,53.2,..,..,..,..,64.1,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Samoa,WSM,..,..,..,..,26.9,..,..,..,..,..,16.6,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,San Marino,SMR,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Sao Tome and Principe,STP,..,..,..,..,40.5,..,..,..,..,49.7,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Saudi Arabia,SAU,..,..,..,..,..,..,24.6,..,..,27.6,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Senegal,SEN,..,13.1,..,17.8,22.2,23.3,25.1,27.8,27.1,26.9,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Serbia,SRB,60.8,..,..,..,58.4,..,..,..,..,62.3,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Seychelles,SYC,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Sierra Leone,SLE,11,..,..,16.6,..,..,..,22.5,..,21.2,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Singapore,SGP,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Slovak Republic,SVK,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Slovenia,SVN,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Solomon Islands,SLB,..,..,..,..,..,29.3,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Somalia,SOM,..,9.8,..,..,..,..,..,..,..,6.9,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,South Africa,ZAF,..,..,..,..,..,..,54.6,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,South Sudan,SSD,4,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Spain,ESP,..,..,..,..,..,..,..,..,62.1,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Sri Lanka,LKA,..,..,..,..,..,..,64.6,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,St. Kitts and Nevis,KNA,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,St. Lucia,LCA,..,..,55.5,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,St. Vincent and the Grenadines,VCT,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Sudan,SDN,9.1,..,..,..,12.8,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Suriname,SUR,47.6,..,..,..,..,..,..,..,39.1,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Eswatini,SWZ,65.2,..,..,..,66.1,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Sweden,SWE,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Switzerland,CHE,..,..,73,..,..,..,..,71.6,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Tajikistan,TJK,..,..,27.9,..,..,..,..,29.3,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Tanzania,TZA,34.4,..,..,..,..,..,38.4,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Thailand,THA,..,..,79.3,..,..,..,78.3,..,..,73,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Timor-Leste,TLS,22.3,..,..,..,..,..,26,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Togo,TGO,15.2,..,..,..,19.9,..,..,23.8,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Tonga,TON,..,..,34.1,..,..,..,..,..,..,29.3,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Trinidad and Tobago,TTO,..,40.3,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Tunisia,TUN,..,..,62.5,..,..,..,..,..,50.7,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Turkiye,TUR,..,..,..,73.5,73.5,..,..,..,69.8,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Turkmenistan,TKM,..,..,..,..,..,..,50.2,..,..,49.7,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Turks and Caicos Islands,TCA,..,..,..,..,..,..,..,..,..,..,34.4,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Tuvalu,TUV,..,..,..,..,..,..,..,..,..,..,23.7,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Uganda,UGA,..,30,..,..,27.3,34.7,39,41,42.6,..,45.2,50.2,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Ukraine,UKR,..,..,65.5,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,United Arab Emirates,ARE,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,United Kingdom,GBR,..,76.1,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,United States,USA,..,..,..,..,72.7,..,75.9,..,73.9,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Uruguay,URY,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Uzbekistan,UZB,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Vanuatu,VUT,..,..,..,49,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,"Venezuela, RB",VEN,75,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Viet Nam,VNM,78,77.8,76.2,77.2,75.7,75.7,77.6,..,76.4,76.5,..,72.8,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Virgin Islands (U.S.),VIR,..,..,..,..,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,West Bank and Gaza,PSE,52.5,..,..,..,57.2,..,..,..,..,..,57.3,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,"Yemen, Rep.",YEM,..,..,..,33.5,..,..,..,..,..,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Zambia,ZMB,..,..,..,..,49,..,..,..,49.6,..,..,..,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Zimbabwe,ZWE,..,58.5,..,..,67,66.8,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Afghanistan,AFG,34.3,38.6,39.9,..,45.2,50.5,..,53.4,58.8,..,61.8,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Albania,ALB,..,..,..,..,..,..,..,..,99.8,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Algeria,DZA,..,..,..,96.6,..,..,..,..,..,98.8,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Andorra,AND,..,..,..,..,..,100,100,100,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Angola,AGO,..,..,..,..,..,..,49.6,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Antigua and Barbuda,ATG,100,..,100,100,100,100,..,100,..,..,99,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Argentina,ARG,95,97.1,98.2,97,99.6,99.6,98.4,93.9,99.5,99.6,98.8,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Armenia,ARM,99.5,100,100,100,100,..,99.8,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Australia,AUS,99.1,99.1,99.2,99,99.8,98.8,98.8,99.4,98.7,98.8,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Austria,AUT,98.5,98.6,98.5,98.5,98.5,98.5,98.4,98.4,98.4,98.4,98.1,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Azerbaijan,AZE,99.4,97.2,99.8,99.9,99.9,99.8,99.8,99.8,99.39,99.9,99.9,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,"Bahamas, The",BHS,99.1,99.1,98.9,98.6,98.9,98,99,..,99,99,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Bahrain,BHR,99.3,99.6,99.8,99.8,99.8,99.9,99.7,99.9,99.6,99.6,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Bangladesh,BGD,26.5,27.4,..,36.5,42.1,..,49.8,67.8,52.7,59,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Barbados,BRB,..,100,98.9,98.6,99.8,99,99.1,..,99,98,98.4,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Belarus,BLR,99.9,99.8,100,99.8,99.8,..,..,..,..,99.9,99.9,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Belgium,BEL,..,..,..,..,..,..,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Belize,BLZ,94,96.2,93.7,93,93.1,93.5,96.8,95.3,94.8,95.3,94.6,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Benin,BEN,..,..,84.1,..,77.2,..,..,..,78.1,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Bhutan,BTN,64.5,70,74.6,89,89,89,89,96.4,96.2,96.3,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Bolivia,BOL,..,84,82.1,84.2,83.9,88.8,89.8,99.5,71.5,81.1,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Bosnia and Herzegovina,BIH,99.9,99.9,99.9,..,99.9,99.9,99.9,99.9,99.9,99.9,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Botswana,BWA,99.1,99.8,99.8,99.9,99.5,99.7,99.7,99.8,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Brazil,BRA,98.9,99,99,98,98.4,98.2,98.6,98.7,98.8,99.1,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Brunei Darussalam,BRN,99.8,99.7,99.8,99.7,99.9,100,100,99.8,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Bulgaria,BGR,99.5,..,..,99.7,99.7,99.8,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Burkina Faso,BFA,23,..,..,..,..,79.8,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Burundi,BDI,60.3,..,78.4,..,..,..,..,85.1,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Cabo Verde,CPV,98.5,98.7,..,92.3,95.6,91.4,92.6,92.4,97.3,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Cambodia,KHM,71,71,74,..,89,..,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Cameroon,CMR,..,63.6,..,..,64.7,..,..,..,69,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Canada,CAN,98.5,98.4,98.1,98,97.9,97.9,97.8,97.9,98,98,98,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Central African Republic,CAF,40,..,..,..,..,..,..,..,..,40.3,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Chad,TCD,16.6,..,..,..,..,24.3,..,..,..,38.8,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Chile,CHL,99.8,99.9,99.8,99.8,99.8,99.7,99.7,99.8,99.8,99.8,..,..,..
